,X.x,cleanedName,sciName,itis_id,rank,notes,X.y,LeafLength,maxLeafLength,meanLeafLength,minLeafLength,Source for LeafLength (mm),LeafArea,maxLeafArea,meanLeafArea,minLeafArea
1,1,American beech,Fagus grandifolia,19462,species,,62,LeafLength,162.4,91.8321875,6,,LeafArea,11265,4174.848263,563
3,3,Paper birch,Betula papyrifera,19489,species,,21,LeafLength,91,50.125,5,,LeafArea,6519.513925,2981.528255,39
4,4,American hornbeam,Carpinus caroliniana,19504,species,,26,LeafLength,84.3,60.22,3,,LeafArea,2740,1461.586667,529.6666667
5,5,Blackgum,Nyssa sylvatica,27821,species,,108,LeafLength,80.093,50.086,5,,LeafArea,6075,2145.887963,71.305
6,6,White mulberry,Morus alba,19066,species,,104,LeafLength,30,12.33333333,5,,LeafArea,1300,1300,1300
7,7,Boxelder,Acer negundo,28749,species,,4,LeafLength,215,146.0833333,5,,LeafArea,20518,7116.155099,1144.9
12,12,Quaking aspen,Populus tremuloides,195773,species,,130,LeafLength,58,28.75,3,,LeafArea,6204.918376,1386.196343,89.71
14,14,Common buckthorn,Rhamnus cathartica,28573,species,,169,LeafLength,7,5,3,,LeafArea,3162,740.6530336,160.245614
15,15,Pin cherry,Prunus pensylvanica,24799,species,,137,LeafLength,10,7,3,,LeafArea,3700.666667,2696.166667,1691.666667
16,16,Yellow birch,Betula alleghaniensis,19481,species,,18,LeafLength,10,8,6,,LeafArea,4980,2090.239322,64
17,17,Japanese maple,Acer palmatum,182136,species,,5,LeafLength,90.094,45.59233333,5,,LeafArea,5183.066,1935.7007,405.327
20,20,Rhododendron,Rhododendron,23700,species,,170,LeafLength,40,40,40,,LeafArea,1720.666667,1133.306667,400.2
24,24,Hackberry,Celtis,19039,species,,37,LeafLength,12,8.5,5,,LeafArea,6320,5127.777778,3480
26,26,Black cherry,Prunus serotina,24764,species,,140,LeafLength,106,64.525,5,,LeafArea,6075,2483.980303,711.3333333
31,31,Live oak,Quercus virginiana,19283,species,,168,LeafLength,97.7,54.12142857,1,,LeafArea,3133,1409.902105,526
32,32,Norway maple,Acer platanoides,28755,species,,7,LeafLength,15,10,5,,LeafArea,31623,7839.102132,2119.038462
