"X","cleanedName","sciName","itis_id","rank","notes","X.1"
21,"Weeping cherry","Prunus subhirtella",NA,"species","also called winter-flowering cherry",NA
33,"Viburnum trilobum","Viburnum opulus var. americanum",NA,"species","not updated",NA
35,"Cornus stolonifera","Cornus sericea ssp. Sericea",NA,"species","not updated",NA
41,"Viburnum cassinoide","Viburnum cassinoides",NA,"species","mispelled",NA
47,"Malus sargentii","Malus sieboldii",NA,"species","not updated",NA
49,"Sweetgum","Liquidambar",19026,"species","",NA
50,"White fir","Abies concolor",181826,"species","",NA
51,"Sourwood","Oxydendrum",23689,"species","",NA
58,"Yellow buckeye","Aesculus flava",NA,"species","not updated",NA
68,"Crapemyrtle","Lagerstroemia indica",27110,"species","",NA
70,"Ironwood",NA,NA,"species","check photos",NA
86,"Speckled alder",NA,NA,"species","check photos",NA
93,"White birch",NA,NA,"species","",NA
108,"Huckleberry",NA,NA,"species","check photos",NA
110,"White cedar","Chamaecyparis",18045,"species","",NA
115,"Basswood","Tilia",21535,"species","",NA
117,"Malus siberica","Malus baccata",NA,"species","not updated",NA
131,"Red oak",NA,NA,"species","check photos",NA
132,"Pawpaw","Asimina",18108,"species","",NA
144,"Tuliptree","Liriodendron",18085,"species","",NA
147,"Cucumber magnolia","Magnolia acuminata",NA,"species","not updated",NA
152,"Scrub oak","Quercus berberidifolia",507263,"species","",NA
167,"Privet",NA,NA,"species","check photos",NA
170,"Southern sugar maple","Acer saccharum var. saccharum",NA,"species","not updated",NA
173,"Witch hazel","Hamamelidaceae",19025,"species","",NA
183,"Chinese quince","Chaenomeles",NA,"species","not updated",NA
186,"Yeddo euonymous","Euonymus hamiltonianus ssp. sieboldianus",NA,"species","mispelled, also known as Hamilton's spindletree",NA
198,"Loebner magnolia",NA,NA,"species","unsure",NA
200,"Possumhaw",NA,NA,"species","check photos",NA
204,"Horned maple","Acer diabolicum",NA,"species","didn't match",NA
207,"Chinese tallowtree","Triadica sebifera",NA,"species","called Chinese tallow tree but that's not updated",NA
218,"Merrill magnolia",NA,NA,"species","unsure: maybe the same cross species as loebrni",NA
226,"Coastal azalea","Rhododendron atlanticum",NA,"species","diff name",NA
228,"Piedmont azalea",NA,NA,"species","",NA
250,"Ozark witch hazel","Hamamelis vernalis",NA,"species","mispelled",NA
254,"Frangula alnus","Rhamnus frangula",NA,"species","not updated",NA
256,"Great rhododendron","Rhododendron maximum",NA,"species","more commonly known as great laurel",NA
257,"Fraser's magnolia","Magnolia fraseri",18073,"species","",NA
265,"Florida forestiera","Forestiera segregata",NA,"species","more commonly known as florida privet?",NA
267,"Tanoak","Lithocarpus",19463,"species","",NA
272,"Broadleaf hawthorn","Crataegus coccinioides",NA,"species","not updated",NA
274,"Winterberry","Euonymus bungeanus",894990,"species","",NA
285,"Kwanzan cherry","Prunus serrulata",NA,"species","more commonly known as japanese flowering cherry",NA
287,"Grey dogwood","Cornus racemosa",NA,"species","mispelled",NA
