"","X","cleanedName","sciName","itis_id","rank","notes"
"1",1,"American beech","Fagus grandifolia",19462,"species",NA
"2",2,"Birch",NA,NA,"species",NA
"3",3,"Paper birch","Betula papyrifera",19489,"species",NA
"4",4,"American hornbeam","Carpinus caroliniana",19504,"species",NA
"5",5,"Blackgum","Nyssa sylvatica",27821,"species",NA
"6",6,"White mulberry","Morus alba",19066,"species",NA
"7",7,"Boxelder",NA,NA,"species",NA
"8",8,"Chokecherry","Prunus",24762,"species",NA
"9",9,"Sugar maple",NA,NA,"species",NA
"10",10,"Hophornbeam","Ostrya",19508,"species",NA
"11",11,"Blue beech",NA,NA,"species",NA
"12",12,"Quaking aspen","Populus tremuloides",195773,"species",NA
"13",13,"Dogwood",NA,NA,"species",NA
"14",14,"Common buckthorn","Rhamnus cathartica",28573,"species",NA
"15",15,"Pin cherry","Prunus pensylvanica",24799,"species",NA
"16",16,"Yellow birch","Betula alleghaniensis",19481,"species",NA
"17",17,"Japanese maple","Acer palmatum",182136,"species",NA
"18",18,"Honeysuckle",NA,NA,"species",NA
"19",19,"Hydrangea","Hydrangea",24194,"species",NA
"20",20,"Rhododendron","Rhododendron",23700,"species",NA
"21",21,"Weeping cherry",NA,NA,"species",NA
"22",22,"Buckthorn","Rhamnus",28561,"species",NA
"23",23,"Serviceberry","Amelanchier",25108,"species",NA
"24",24,"Hackberry","Celtis",19039,"species",NA
"25",25,"Lilac",NA,NA,"species",NA
"26",26,"Black cherry","Prunus serotina",24764,"species",NA
"27",27,"Vaccineum stamineum",NA,NA,"species",NA
"28",28,"Hickory","Carya",19223,"species",NA
"29",29,"White oak","Quercus alba",19290,"species",NA
"30",30,"Cherry and plum",NA,NA,"species",NA
"31",31,"Live oak","Quercus virginiana",19283,"species",NA
"32",32,"Norway maple","Acer platanoides",28755,"species",NA
"33",33,"Viburnum trilobum",NA,NA,"species",NA
"34",34,"Viburnum nudum","Viburnum nudum",35252,"species",NA
"35",35,"Cornus stolonifera",NA,NA,"species",NA
"36",36,"Vibirnum dentatum",NA,NA,"species",NA
"37",37,"Vaccinium","Vaccinium",23571,"species",NA
"38",38,"Rhus glabra","Rhus glabra",28782,"species",NA
"39",39,"Hamamelis virginiana","Hamamelis virginiana",19033,"species",NA
"40",40,"Striped maple","Acer pensylvanicum",28754,"species",NA
