"","X","AccSpeciesName","cleanedPlantName","LeafLength","maxLeafLength","meanLeafLength","minLeafLength","LeafArea","maxLeafArea","meanLeafArea","minLeafArea"
"1",308,"8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",309,"9",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",130,"Acer x freemanii","Acer x freemanii",NA,NA,NA,NA,NA,NA,NA,NA
"4",50,"Aesculus hippocastanum","Aesculus hippocastanum",NA,NA,NA,NA,NA,NA,NA,NA
"5",44,"Aesculus parviflora","Aesculus parviflora",NA,NA,NA,NA,NA,NA,NA,NA
"6",397,"Ailanthus","Ailanthus",NA,NA,NA,NA,NA,NA,NA,NA
"7",169,"Alder spp.","Alder",NA,NA,NA,NA,NA,NA,NA,NA
"8",464,"Alnus crispa","Alnus crispa",NA,NA,NA,NA,NA,NA,NA,NA
"9",92,"Alternate-leaf dogwood","Alternate-leaf dogwood",NA,NA,NA,NA,NA,NA,NA,NA
"10",495,"Amelanchier","Amelanchier",NA,NA,NA,NA,NA,NA,NA,NA
"11",415,"Amelanchier alnifolia","Amelanchier alnifolia","LeafLength",5,3.5,2,NA,NA,NA,NA
"12",403,"Amelanchier laevis","Amelanchier laevis","LeafLength",10,7.5,5,"LeafArea",2440,1776.95833325,980
"13",105,"American basswood","American basswood",NA,NA,NA,NA,NA,NA,NA,NA
"14",425,"American beautyberry","American beautyberry",NA,NA,NA,NA,NA,NA,NA,NA
"15",1,"American beech","American beech",NA,NA,NA,NA,NA,NA,NA,NA
"16",156,"American bladdernut","American bladdernut",NA,NA,NA,NA,NA,NA,NA,NA
"17",103,"American chestnut","American chestnut",NA,NA,NA,NA,NA,NA,NA,NA
"18",61,"American elm","American elm",NA,NA,NA,NA,NA,NA,NA,NA
"19",157,"American hazelnut","American hazelnut",NA,NA,NA,NA,NA,NA,NA,NA
"20",83,"American holly","American holly",NA,NA,NA,NA,NA,NA,NA,NA
"21",4,"American hornbeam","American hornbeam",NA,NA,NA,NA,NA,NA,NA,NA
"22",170,"American mountain-ash","American mountain-ash",NA,NA,NA,NA,NA,NA,NA,NA
"23",386,"American plum","American plum",NA,NA,NA,NA,NA,NA,NA,NA
"24",447,"American sweetgum","American sweetgum",NA,NA,NA,NA,NA,NA,NA,NA
"25",85,"American sycamore","American sycamore",NA,NA,NA,NA,NA,NA,NA,NA
"26",303,"American witch-hazel","witch-hazel",NA,NA,NA,NA,NA,NA,NA,NA
"27",134,"American yellowwood","Kentucky yellowwood",NA,NA,NA,NA,NA,NA,NA,NA
"28",276,"Amur honeysuckle","Amur honeysuckle",NA,NA,NA,NA,NA,NA,NA,NA
"29",188,"Amur maple","Amur maple",NA,NA,NA,NA,NA,NA,NA,NA
"30",100,"Apple spp.","Apple",NA,NA,NA,NA,NA,NA,NA,NA
"31",487,"Arizona white oak","Arizona white oak",NA,NA,NA,NA,NA,NA,NA,NA
"32",174,"Arrowwood","Viburnum",NA,NA,NA,NA,NA,NA,NA,NA
"33",287,"Arrowwood viburnum","Viburnum",NA,NA,NA,NA,NA,NA,NA,NA
"34",144,"Ash spp.","Ash",NA,NA,NA,NA,NA,NA,NA,NA
"35",379,"Asimina spp.","Asimina",NA,NA,NA,NA,NA,NA,NA,NA
"36",177,"Atlantic white-cedar","Atlantic white-cedar",NA,NA,NA,NA,NA,NA,NA,NA
"37",58,"Autumn olive","Autumn olive",NA,NA,NA,NA,NA,NA,NA,NA
"38",223,"Azalea","Azalea",NA,NA,NA,NA,NA,NA,NA,NA
"39",240,"Azalea spp.","Azalea",NA,NA,NA,NA,NA,NA,NA,NA
"40",482,"Azalea, rhododendron spp.","Azalea, rhododendron",NA,NA,NA,NA,NA,NA,NA,NA
"41",168,"Baccharis halimifolia","Baccharis halimifolia","LeafLength",8,5,2,NA,NA,NA,NA
"42",335,"Bald cypress","Bald cypress",NA,NA,NA,NA,NA,NA,NA,NA
"43",99,"Balsam poplar","Balsam poplar",NA,NA,NA,NA,NA,NA,NA,NA
"44",313,"Basswood","Basswood",NA,NA,NA,NA,NA,NA,NA,NA
"45",123,"Basswood spp.","Basswood",NA,NA,NA,NA,NA,NA,NA,NA
"46",88,"Beaked hazel","Beaked hazel",NA,NA,NA,NA,NA,NA,NA,NA
"47",250,"Beech","Beech",NA,NA,NA,NA,NA,NA,NA,NA
"48",199,"Beech spp.","Beech",NA,NA,NA,NA,NA,NA,NA,NA
"49",193,"Big-leaf dogwood","Cornus macrophylla",NA,NA,NA,NA,NA,NA,NA,NA
"50",446,"Bigleaf snowbell","Bigleaf snowbell",NA,NA,NA,NA,NA,NA,NA,NA
"51",398,"Bigtooth aspen","Bigtooth aspen",NA,NA,NA,NA,NA,NA,NA,NA
"52",2,"Birch spp.","Birch",NA,NA,NA,NA,NA,NA,NA,NA
"53",159,"Bitternut hickory","Bitternut hickory",NA,NA,NA,NA,NA,NA,NA,NA
"54",101,"Black ash","Black ash",NA,NA,NA,NA,NA,NA,NA,NA
"55",310,"Black birch","Black birch",NA,NA,NA,NA,NA,NA,NA,NA
"56",27,"Black cherry","Black cherry",NA,NA,NA,NA,NA,NA,NA,NA
"57",175,"Black gum","Black gum",NA,NA,NA,NA,NA,NA,NA,NA
"58",456,"Black haw","Black haw",NA,NA,NA,NA,NA,NA,NA,NA
"59",275,"Black locust","Black locust",NA,NA,NA,NA,NA,NA,NA,NA
"60",133,"Black maple","Black maple",NA,NA,NA,NA,NA,NA,NA,NA
"61",265,"Black mulberry","Black mulberry",NA,NA,NA,NA,NA,NA,NA,NA
"62",148,"Black oak","Black oak",NA,NA,NA,NA,NA,NA,NA,NA
"63",106,"Black walnut","Black walnut",NA,NA,NA,NA,NA,NA,NA,NA
"64",411,"Black willow","Black willow",NA,NA,NA,NA,NA,NA,NA,NA
"65",5,"Blackgum","Blackgum",NA,NA,NA,NA,NA,NA,NA,NA
"66",59,"Blackhaw","Blackhaw",NA,NA,NA,NA,NA,NA,NA,NA
"67",339,"Blackjack oak","Blackjack oak",NA,NA,NA,NA,NA,NA,NA,NA
"68",12,"Blue beech","Blue beech",NA,NA,NA,NA,NA,NA,NA,NA
"69",348,"Blue spruce","Blue spruce",NA,NA,NA,NA,NA,NA,NA,NA
"70",289,"Blueberry spp.","Blueberry",NA,NA,NA,NA,NA,NA,NA,NA
"71",79,"Blueberry vaccinium sp.","Vaccinium",NA,NA,NA,NA,NA,NA,NA,NA
"72",329,"Bottlebrush buckeye","Bottlebrush buckeye",NA,NA,NA,NA,NA,NA,NA,NA
"73",271,"Box elder (acer negundo)","Acer negundo",NA,NA,NA,NA,NA,NA,NA,NA
"74",8,"Boxelder","Boxelder",NA,NA,NA,NA,NA,NA,NA,NA
"75",290,"Boxelder maple","Acer negundo",NA,NA,NA,NA,NA,NA,NA,NA
"76",266,"Brambles","Brambles",NA,NA,NA,NA,NA,NA,NA,NA
"77",299,"Broadleaf hawthorn","Broadleaf hawthorn",NA,NA,NA,NA,NA,NA,NA,NA
"78",312,"Buckeye","Buckeye",NA,NA,NA,NA,NA,NA,NA,NA
"79",184,"Buckeye spp.","Buckeye",NA,NA,NA,NA,NA,NA,NA,NA
"80",23,"Buckthorn","Buckthorn",NA,NA,NA,NA,NA,NA,NA,NA
"81",498,"Buckthorn spp.","Buckthorn",NA,NA,NA,NA,NA,NA,NA,NA
"82",282,"Buffalo nut","Buffalo nut",NA,NA,NA,NA,NA,NA,NA,NA
"83",119,"Bur oak","Bur oak",NA,NA,NA,NA,NA,NA,NA,NA
"84",350,"Burr oak","Bur oak",NA,NA,NA,NA,NA,NA,NA,NA
"85",269,"Bush honeysuckle (caprifoliaceae family)","Bush honeysuckle",NA,NA,NA,NA,NA,NA,NA,NA
"86",439,"Buttonwood-mangrove","Buttonwood-mangrove",NA,NA,NA,NA,NA,NA,NA,NA
"87",417,"Buxus sempervirens","Buxus sempervirens","LeafLength",3,2.25,1.5,"LeafArea",316,140.56489898987,44.09722222
