,AccSpeciesName,LeafLength,maxLeafLength,meanLeafLength,minLeafLength,LeafArea,maxLeafArea,meanLeafArea,minLeafArea
1,Acca sellowiana,LeafLength,6.09,6.09,6.09,NA,NA,NA,NA
2,Acer buergerianum,LeafLength,50,22,6,LeafArea,15007.5,2079.481818,266.8
3,Acer campestre,LeafLength,7,5.5,4,LeafArea,5570,3843.714286,865
4,Acer negundo,LeafLength,215,146.0833333,5,LeafArea,20518,7116.155099,1144.9
5,Acer palmatum,LeafLength,90.094,45.59233333,5,LeafArea,5183.066,1935.7007,405.327
6,Acer pensylvanicum,LeafLength,15,13.85,12.7,LeafArea,35021.342,13308.74359,3805.38
7,Acer platanoides,LeafLength,15,10,5,LeafArea,31623,7839.102132,2119.038462
8,Acer rubrum,LeafLength,155.5,76.29259259,5,LeafArea,15000,3719.391556,95
9,Acer leucoderme,LeafLength,20,15,10,NA,NA,NA,NA
10,Acer spicatum,LeafLength,12,9,6,LeafArea,5570,5540,5510
11,Acer ginnala,LeafLength,70,19.6,4,LeafArea,3250,1758.545455,806
12,Aesculus pavia,LeafLength,170,151.3333333,135,LeafArea,15012,10998.25,8684
13,Alnus viridis,LeafLength,6,4.5,3,LeafArea,3464,1862.479272,64.73563218
14,Amelanchier alnifolia,LeafLength,5,3.5,2,NA,NA,NA,NA
15,Amelanchier laevis,LeafLength,10,7.5,5,LeafArea,2440,1776.958333,980
16,Arbutus menziesii,LeafLength,15.2,11.4,7.6,LeafArea,4927.275382,4551.487296,3816.885714
17,Baccharis halimifolia,LeafLength,8,5,2,NA,NA,NA,NA
18,Betula alleghaniensis,LeafLength,10,8,6,LeafArea,4980,2090.239322,64
19,Betula lenta,LeafLength,10,7.5,5,LeafArea,5310,3964.027778,2660.5
20,Betula nigra,LeafLength,86.587,52.27881818,4,LeafArea,4800,1960.450946,35.627
21,Betula papyrifera,LeafLength,91,50.125,5,LeafArea,6519.513925,2981.528255,39
22,Betula populifolia,LeafLength,10,6.5,3,LeafArea,2807,1289.01,548.05
23,Buxus sempervirens,LeafLength,3,2.25,1.5,LeafArea,316,140.564899,44.09722222
24,Callicarpa americana,LeafLength,162.4,102.7833333,47.7,LeafArea,9152,4202.116667,916
25,Calycanthus floridus,LeafLength,119.72,69.43395,4.772,LeafArea,4003.312,1679.656,8.224
26,Carpinus caroliniana,LeafLength,84.3,60.22,3,LeafArea,2740,1461.586667,529.6666667
27,Carya cordiformis,LeafLength,40,30,20,LeafArea,6075,3891.666667,1160
28,Carya glabra,LeafLength,360,218.8888889,20,LeafArea,54675,20110.15152,924.3333333
29,Carya illinoinensis,LeafLength,20,15,10,LeafArea,2730,2730,2730
30,Carya myristiciformis,LeafLength,60,45,30,NA,NA,NA,NA
31,Carya ovata,LeafLength,60,45,30,LeafArea,40900,9508.64,1220
32,Castanea dentata,LeafLength,30,19.5,9,LeafArea,12400,8740.55,6019
33,Castanea mollissima,LeafLength,18,13.5,9,NA,NA,NA,NA
34,Castanea pumila,LeafLength,88.9,60.0875,4,LeafArea,2742,2057.75,1299
35,Catalpa bignonioides,LeafLength,21,17.5,14,NA,NA,NA,NA
36,Celastrus orbiculatus,LeafLength,60,18,5,LeafArea,5604.38035,2626.803021,137.5
37,Celtis,LeafLength,12,8.5,5,LeafArea,6320,5127.777778,3480
38,Cephalanthus occidentalis,LeafLength,135.8,99.99,6,LeafArea,6075,3448.74,1169
39,Cercis canadensis,LeafLength,164.139,82.92428571,9.066,LeafArea,19009.147,6168.978023,35.717
40,Chamaecyparis thyoides,LeafLength,0.3,0.216666667,0.15,NA,NA,NA,NA
41,Chimonanthus praecox,LeafLength,20,11.25,2,NA,NA,NA,NA
42,Cladrastis kentukea,LeafLength,40,40,40,NA,NA,NA,NA
43,Cornus alternifolia,LeafLength,12,9,6,LeafArea,6075,6075,6075
44,Cornus florida,LeafLength,163.5,89.3718,10,LeafArea,11546,4301.412136,52.288
45,Cornus foemina,LeafLength,115.4,98.49166667,83,LeafArea,5583,3635.916667,2494
46,Cornus kousa,LeafLength,20,11.25,6,NA,NA,NA,NA
47,Cornus macrophylla,LeafLength,18,14.33333333,9,NA,NA,NA,NA
48,Cornus mas,LeafLength,10,7,4,LeafArea,2844.5,1155.506667,405.8
49,Cornus racemosa,LeafLength,10,7,4,LeafArea,1366,1366,1366
50,Cornus sericea,LeafLength,14,11.33333333,8,LeafArea,4149.72,2615.1133,1259.08
51,Corylus americana,LeafLength,16,10.5,5,LeafArea,6075,6075,6075
52,Corylus cornuta,LeafLength,10,7,4,LeafArea,3321.333333,3321.333333,3321.333333
53,Crataegus,LeafLength,50,50,50,LeafArea,2080,832.3444445,137
54,Crataegus phaenopyrum,LeafLength,10,7.5,5,NA,NA,NA,NA
55,Cyrilla racemiflora,LeafLength,98.6,81.88,65.8,LeafArea,2925,1361.384318,578
56,Elaeagnus angustifolia,LeafLength,10,5.75,2.5,LeafArea,1120,1120,1120
57,Elaeagnus umbellata,LeafLength,9,5.5,2,LeafArea,1543.78,1334.39,1125
58,Eriobotrya japonica,LeafLength,30,25,20,LeafArea,9056,9056,9056
59,Euonymus alatus,LeafLength,60,22.41666667,2,LeafArea,20010,1860.789048,678.48
60,Euonymus europaeus,LeafLength,10,10,10,LeafArea,3162,1198.988095,625
61,Euonymus japonicus,LeafLength,12,6.285714286,2,NA,NA,NA,NA
62,Fagus grandifolia,LeafLength,162.4,91.8321875,6,LeafArea,11265,4174.848263,563
63,Fagus sylvatica,LeafLength,9,6.5,4,LeafArea,7428,1964.308016,247
64,Ficus,LeafLength,11.9493,11.5011,10.6385,LeafArea,11931.22,6857.41533,873.3333333
65,Ficus carica,LeafLength,20,15,10,LeafArea,23898,14381.23444,8374.18
66,Rhamnus frangula,LeafLength,7,4.5,2,LeafArea,5360.37,2272.326308,120.5038462
67,Fraxinus americana,LeafLength,267,175.375,20,LeafArea,54675,16453.42583,258
68,Fraxinus caroliniana,LeafLength,255,212.3333333,175,LeafArea,52418,22683.25,8668
69,Fraxinus nigra,LeafLength,40,32.5,25,NA,NA,NA,NA
70,Fraxinus pennsylvanica,LeafLength,40,29,18,LeafArea,4486.666667,3282.555556,2467
71,Halesia carolina,LeafLength,12,8.5,5,LeafArea,4500,4500,4500
72,Hamamelis virginiana,LeafLength,79.6,53.91,3.7,LeafArea,8078,3274.175,1168
73,Hibiscus syriacus,LeafLength,111.444,57.16683333,3,LeafArea,5803.646,2283.628,5.75
74,Hovenia dulcis,LeafLength,20,12.75,7,NA,NA,NA,NA
75,Ilex cornuta,LeafLength,40,13,4,LeafArea,1125,912.5,700
76,Ilex glabra,LeafLength,49.6,43.15714286,35,LeafArea,955,525.5416667,326
77,Ilex opaca,LeafLength,91.1,48.43673214,13.92,LeafArea,4315,1420.082563,68
78,Ilex vomitoria,LeafLength,60.8,42.28333333,21.8,LeafArea,1050,581.4066667,167
79,Juglans nigra,LeafLength,60,40,20,LeafArea,54675,19662.91667,2293.333333
80,Kalmia latifolia,LeafLength,71.617,48.896,21.858,LeafArea,4000,1184.589293,82.378
81,Kalopanax septemlobus,LeafLength,300,300,300,LeafArea,85000,31510.05894,1800.9
82,Koelreuteria paniculata,LeafLength,50,50,50,NA,NA,NA,NA
83,Lagerstroemia indica,LeafLength,92.192,44.03526923,2.5,LeafArea,2728.566,1316.1668,45.001
84,Larix laricina,LeafLength,3.3,2.1,1,LeafArea,33,33,33
85,Ligustrum japonicum,LeafLength,10,7,4,LeafArea,675,675,675
86,Ligustrum lucidum,LeafLength,17,11.5,6,LeafArea,4800,2273.472667,1000.5
87,Ligustrum sinense,LeafLength,60,29.55216667,2,LeafArea,1334,568.4884,8.075
88,Lindera benzoin,LeafLength,15,8.333333333,4,LeafArea,3650,2760.416667,1560
89,Liquidambar styraciflua,LeafLength,122.3,69,7,LeafArea,12898,6079.827778,1674.666667
90,Liriodendron tulipifera,LeafLength,138.98,60.16944444,6.5,LeafArea,34000,10515.46199,493
91,Lonicera japonica,LeafLength,8,5.75,3,LeafArea,963,867.5,772
92,Lonicera maackii,LeafLength,60,16.8,3,LeafArea,8004,2446.04,700
93,Lonicera tatarica,LeafLength,8,5.25,2.5,NA,NA,NA,NA
94,Maackia amurensis,LeafLength,70,40,20,LeafArea,14386.95,5020.1625,1125
95,Maclura pomifera,LeafLength,12,8.25,4,NA,NA,NA,NA
96,Magnolia acuminata,LeafLength,40,20,5,LeafArea,26430,22905,19380
97,Magnolia fraseri,LeafLength,60,36.66666667,20,LeafArea,22260,22260,22260
98,Magnolia grandiflora,LeafLength,250.835,141.1367027,7.5,LeafArea,19077,8948.786582,131.408
99,Magnolia tripetala,LeafLength,60,45,30,LeafArea,32730,32730,32730
100,Magnolia virginiana,LeafLength,279.58,157.5026923,6,LeafArea,26864,6613.223485,2086
101,Mahonia bealei,LeafLength,519.357,279.09585,18.34,LeafArea,33803.44,13083.9257,143.485
102,Malus baccata,LeafLength,8,5.5,3,LeafArea,1184.77,987.89,791.01
103,Morella cerifera,LeafLength,13.3,7.38,1.1,LeafArea,2162,816.0701754,324
104,Morus alba,LeafLength,30,12.33333333,5,LeafArea,1300,1300,1300
105,Morus nigra,LeafLength,20,12.66666667,6,NA,NA,NA,NA
106,Morus rubra,LeafLength,178.5,113.7461538,10,LeafArea,16269,8551.539007,4173
107,Lithocarpus,LeafLength,12,9,6,NA,NA,NA,NA
108,Nyssa sylvatica,LeafLength,80.093,50.086,5,LeafArea,6075,2145.887963,71.305
109,Osmanthus fragrans,LeafLength,60,20.7,7,LeafArea,4002,1763.92,700
110,Ostrya virginiana,LeafLength,110.6,61.86,5,LeafArea,8271.867,3386.291182,772
111,Parrotia persica,LeafLength,10,8,6,NA,NA,NA,NA
112,Persea borbonia,LeafLength,183,96.45,6,LeafArea,6553,3303.887006,1018
113,Phyllostachys aurea,LeafLength,15,9.75,6,NA,NA,NA,NA
114,Physocarpus opulifolius,LeafLength,10,6,2,LeafArea,2150,2150,2150
115,Picea abies,LeafLength,2.5,1.8,1,LeafArea,237,84.46567143,11.6
116,Picea glauca,LeafLength,21.49,16.17444444,0.8,LeafArea,29,22.8,14.8
117,Picea pungens,LeafLength,3,2.25,1.5,NA,NA,NA,NA
118,Pinus echinata,LeafLength,13,9,5,NA,NA,NA,NA
119,Pinus radiata,LeafLength,20,13,8,LeafArea,82.7907307,82.7907307,82.7907307
120,Pinus strobus,LeafLength,84,39.14285714,5,LeafArea,270,198,45
121,Pinus taeda,LeafLength,245.372,77.60442308,4.786,LeafArea,361.5,140.4997625,4.574
122,Pinus virginiana,LeafLength,80.045,46.37779167,2,LeafArea,82.128,52.5177,22.369
123,Platanus occidentalis,LeafLength,30,17.4,8,LeafArea,28197,19182.72727,13590
124,Populus alba,LeafLength,12,5.76,3,LeafArea,3162,2373.108333,1276.42
125,Populus balsamifera,LeafLength,16,11,5,LeafArea,3162,2929.457778,2774
126,Populus deltoides,LeafLength,18,14,10,LeafArea,8400,7470,6075
127,Populus fremontii,LeafLength,100.21,56.48266667,18.48,LeafArea,7579,3189.342857,199
128,Populus grandidentata,LeafLength,86,46.5,7,LeafArea,5920,4197.314815,2574.333333
129,Populus nigra,LeafLength,10,7.5,5,LeafArea,4166.5,2672.785714,1495
130,Populus tremuloides,LeafLength,58,28.75,3,LeafArea,6204.918376,1386.196343,89.71
131,Prunus armeniaca,LeafLength,10,6.25,3,NA,NA,NA,NA
132,Prunus avium,LeafLength,15,9.75,3,LeafArea,3178,2125.428571,1340
133,Prunus caroliniana,LeafLength,85.5,71.1,58.8,LeafArea,2176,1391.8125,695
134,Prunus cerasifera,LeafLength,8,4.3,2,NA,NA,NA,NA
135,Prunus laurocerasus,LeafLength,25,15,5,LeafArea,11174,5786.265913,854.7916667
136,Prunus mume,LeafLength,10,6.125,3.5,NA,NA,NA,NA
137,Prunus pensylvanica,LeafLength,10,7,3,LeafArea,3700.666667,2696.166667,1691.666667
