"Plant species","USDA Native Status","Origin","n_Surveys","n_Branches","n_Sites","Pct with caterpillars","95%CI Lower limit","95%CI Upper limit"
"Hamamelis virginiana","L48(N)CAN(N)","native",738,100,39,19.38,16.53,22.23
"Populus grandidentata","L48(N)CAN(N)","native",48,24,6,18.75,7.71,29.79
"Alnus incana","L48(N)AK(N)CAN(N)SPM(N)","native",91,7,2,17.58,9.76,25.4
"Quercus palustris","L48(N)CAN(N)","native",555,11,5,17.3,14.15,20.44
"Carya ovata","L48(N)CAN(N)","native",329,41,11,16.41,12.41,20.42
"Quercus macrocarpa","L48(N)CAN(N)","native",62,9,7,16.13,6.97,25.28
"Aesculus flava","L48(N)","native",120,19,8,15.83,9.3,22.36
"Platanus occidentalis","L48(N)CAN(N)","native",406,19,14,15.76,12.22,19.31
"Acer negundo","L48(N)CAN(N)","native",2415,97,34,15.03,13.61,16.46
"Magnolia fraseri","L48(N)","native",49,10,7,14.29,4.49,24.08
"Quercus alba","L48(N)CAN(N)","native",1412,140,47,13.67,11.88,15.46
"Acer floridanum","L48(N)","native",113,19,7,13.27,7.02,19.53
"Quercus rubra","L48(N)CAN(N)","native",1221,115,45,12.86,10.98,14.74
"Tilia americana","L48(N)CAN(NI)","native",479,58,26,12.53,9.56,15.49
"Ostrya virginiana","L48(N)CAN(N)","native",809,83,16,12.48,10.21,14.76
"Quercus velutina","L48(N)CAN(N)","native",390,18,11,12.05,8.82,15.28
"Corylus cornuta","L48(N)CAN(N)SPM(N)","native",140,18,3,11.43,6.16,16.7
"Halesia carolina","L48(N)","native",369,24,12,11.38,8.14,14.62
"Liquidambar styraciflua","L48(N)","native",4635,111,31,11.24,10.33,12.15
"Quercus michauxii","L48(N)","native",74,11,3,10.81,3.74,17.89
"Diospyros virginiana","L48(N)","native",2115,20,8,10.69,9.37,12
"Betula nigra","L48(N)","native",198,24,13,10.61,6.32,14.9
"Viburnum prunifolium","L48(N)","native",133,17,12,9.77,4.73,14.82
"Fraxinus nigra","L48(N)CAN(N)","native",123,9,4,9.76,4.51,15
"Kalmia latifolia","L48(N)","native",404,97,21,9.65,6.77,12.53
"Cornus sericea","L48(N)AK(N)CAN(N)SPM(N)","native",214,17,11,9.35,5.45,13.25
"Liriodendron tulipifera","L48(N)CAN(N)","native",503,37,23,9.15,6.63,11.66
"Prunus serotina","L48(N)CAN(N)","native",1903,190,56,9.04,7.75,10.33
"Rhus typhina","L48(N)CAN(N)","native",58,10,5,8.62,1.4,15.84
"Quercus montana","L48(N)","native",152,13,9,8.55,4.11,13
"Fraxinus americana","L48(N)HI(I)CAN(N)","native",962,104,23,8.52,6.76,10.29
"Carya cordiformis","L48(N)CAN(N)","native",697,44,14,8.46,6.4,10.53
"Betula populifolia","L48(N)CAN(N)","native",60,7,4,8.33,1.34,15.33
"Acer pensylvanicum","L48(N)CAN(N)","native",283,71,24,8.13,4.94,11.31
"Acer saccharinum","L48(N)CAN(N)","native",160,20,12,8.12,3.89,12.36
"Betula papyrifera","L48(N)AK(N)CAN(N)SPM(N)","native",682,23,10,8.06,6.02,10.11
"Fagus grandifolia","L48(N)CAN(N)","native",6092,351,62,8.04,7.36,8.73
"Quercus ilicifolia","L48(N)CAN(N)","native",137,13,2,8.03,3.48,12.58
"Acer rubrum","L48(N)CAN(N)","native",3743,327,105,8.01,7.15,8.88
"Betula lenta","L48(N)CAN(N)","native",152,31,10,7.89,3.61,12.18
"Acer nigrum","L48(N)CAN(N)","native",65,10,5,7.69,1.21,14.17
"Juglans nigra","L48(N)CAN(N)","native",306,21,16,7.52,4.56,10.47
"Castanea dentata","L48(N)CAN(N)","native",120,22,7,7.5,2.79,12.21
"Oxydendrum arboreum","L48(N)","native",721,28,14,7.49,5.57,9.41
"Amelanchier arborea","L48(N)CAN(N)","native",98,16,9,7.14,2.04,12.24
"Asimina triloba","L48(N)CAN(N)","native",499,30,17,7.01,4.77,9.25
"Fraxinus pennsylvanica","L48(N)CAN(N)","native",231,26,11,6.93,3.65,10.2
"Aesculus pavia","L48(N)CAN(I)","native",146,9,3,6.85,2.75,10.95
"Populus tremuloides","L48(N)AK(N)CAN(N)SPM(N)","native",103,8,4,6.8,1.94,11.66
"Viburnum acerifolium","L48(N)CAN(N)","native",118,13,10,6.78,2.24,11.32
